timestamp,ax,ay,az,gx,gy,gz,activity
35038, 0.000000, 0.697632, -0.394287, 0.711426, -10.559082, -7.629396, 19.897461,left_down
35058, 0.000000, 0.637573, -0.102539, 0.653564, 23.620613, -12.756351, 8.728027,left_down
35078, 0.000000, 0.681274, 0.059204, 0.597046, -10.009766, -9.643555, 9.399414,left_down
35098, 0.000000, 0.678955, -0.143066, 0.789551, -20.690918, 8.850098, 4.516602,left_down
35118, 0.000000, 0.644165, -0.203735, 0.766357, -0.976563, 12.634281, 1.953125,left_down
35138, 0.000000, 0.584961, -0.159058, 0.769653, 11.535648, 9.399414, 2.014160,left_down
35158, 0.000000, 0.552490, -0.101929, 0.812378, 12.573246, 1.403809, 0.976563,left_down
35178, 0.000000, 0.639893, -0.130737, 0.971313, 28.747566, -4.089355, -4.028320,left_down
35198, 0.000000, 0.630859, -0.089233, 0.924927, 29.174812, -5.249023, -3.967286,left_down
35218, 0.000000, 0.644409, -0.166870, 0.876343, 16.174316, -5.798342, 1.586915,left_down
35238, 0.000000, 0.653931, -0.203857, 0.792847, 37.780762, -0.549316, 0.122070,left_down
35258, 0.000000, 0.610352, 0.009155, 0.772461, 56.884781, 3.112794, -3.906251,left_down
35278, 0.000000, 0.621094, 0.072510, 0.785645, 4.516602, 1.464844, 5.981447,left_down
35298, 0.000000, 0.639526, -0.120117, 0.759521, -18.493652, -0.183106, 13.732914,left_down
35318, 0.000000, 0.694580, -0.191650, 0.710693, 8.239746, -3.051759, 13.305668,left_down
35338, 0.000000, 0.635742, -0.057861, 0.779907, -6.774904, -2.502441, 14.831547,left_down
35358, 0.000000, 0.646729, -0.097168, 0.780029, -6.591799, 3.295899, 7.263186,left_down
35378, 0.000000, 0.628174, -0.153442, 0.792847, 33.142090, 8.056641, -5.371094,left_down
35398, 0.000000, 0.635864, -0.063965, 0.779541, 16.967773, 7.202150, -4.821777,left_down
35418, 0.000000, 0.636841, 0.088135, 0.780518, -16.174316, 8.361816, -1.098633,left_down
35438, 0.000000, 0.710693, 0.109131, 0.730957, -65.795898, 11.413578, 4.455566,left_down
35458, 0.000000, 0.650757, -0.109497, 0.642212, -52.978531, 18.066406, -2.990724,left_down
35478, 0.000000, 0.579834, -0.259521, 0.657104, -21.240234, 25.268562, -3.417970,left_down
35498, 0.000000, 0.514526, -0.138672, 0.626953, 39.428711, 31.738289, -7.812502,left_down
35518, 0.000000, 0.527588, 0.035278, 0.599731, 30.212410, 34.606934, 0.671387,left_down
35538, 0.000000, 0.554932, 0.071045, 0.636597, -4.455566, 44.250504, 11.962894,left_down
35558, 0.000000, 0.566650, -0.064697, 0.686035, -17.211914, 63.110367, 18.615723,left_down
35578, 0.000000, 0.485840, -0.216675, 0.679932, 16.967773, 80.932617, 15.197758,left_down
35598, 0.000000, 0.471558, -0.214600, 0.737915, 53.161636, 90.454132, 6.591799,left_down
35618, 0.000000, 0.466187, -0.216431, 0.847046, 66.528320, 95.886261, -3.601075,left_down
35638, 0.000000, 0.453369, -0.086304, 0.997925, 66.406250, 97.290070, -16.906738,left_down
35658, 0.000000, 0.360962, -0.057495, 1.198853, 36.437988, 87.646484, -26.855476,left_down
35678, 0.000000, 0.311035, -0.053467, 1.352783, 31.433113, 70.617676, -26.550301,left_down
35698, 0.000000, 0.314941, -0.043701, 1.463501, 37.231445, 45.776382, -23.559578,left_down
35718, 0.000000, 0.315308, 0.039185, 1.479492, 37.963867, 11.474613, -19.226074,left_down
35738, 0.000000, 0.333862, 0.128174, 1.409180, 10.803223, -30.395515, -10.314941,left_down
35758, 0.000000, 0.317383, 0.093140, 1.252075, -29.479988, -72.509766, 0.122070,left_down
35778, 0.000000, 0.303223, -0.029419, 1.027466, -36.499023, -104.309113, 1.708985,left_down
35798, 0.000000, 0.378540, -0.076538, 0.884399, -8.178711, -117.553741, -4.699707,left_down
35818, 0.000000, 0.432861, -0.025391, 0.790649, 14.160160, -113.769562, -6.225588,left_down
35838, 0.000000, 0.468872, 0.061157, 0.659912, -0.427246, -99.670441, 0.854492,left_down
35858, 0.000000, 0.487793, 0.016846, 0.508911, -23.193367, -79.345703, 6.835939,left_down
35878, 0.000000, 0.494995, -0.058472, 0.355469, -20.874023, -53.710953, 5.798342,left_down
35898, 0.000000, 0.543701, -0.071411, 0.273560, -8.972168, -22.705086, 2.136230,left_down
35918, 0.000000, 0.575317, -0.041138, 0.315674, 7.446291, 16.113281, -2.563477,left_down
35938, 0.000000, 0.502319, 0.012329, 0.388550, -1.159668, 67.504883, -1.159668,left_down
35958, 0.000000, 0.466675, -0.035156, 0.521484, -2.502441, 91.369659, -2.319336,left_down
35978, 0.000000, 0.469604, -0.048096, 0.801514, 19.104004, 110.961945, -10.559082,left_down
35998, 0.000000, 0.392944, -0.109863, 1.090820, 60.974136, 122.314484, -19.592285,left_down
36018, 0.000000, 0.273193, 0.054321, 1.332031, 90.576202, 111.511261, -20.996094,left_down
36038, 0.000000, 0.298950, 0.291382, 1.533081, 52.185074, 74.707031, -7.019045,left_down
36058, 0.000000, 0.291138, 0.233887, 1.593018, 5.371094, 21.301270, 8.056641,left_down
36078, 0.000000, 0.272095, 0.135254, 1.513550, -14.892582, -35.461426, 17.822266,left_down
36098, 0.000000, 0.282837, 0.020752, 1.304810, -16.479492, -82.397461, 19.409180,left_down
36118, 0.000000, 0.362061, 0.005981, 1.083862, -1.831055, -109.680206, 12.084965,left_down
36138, 0.000000, 0.439575, 0.058472, 0.945068, -3.479005, -116.455109, 6.408693,left_down
36158, 0.000000, 0.507568, 0.063110, 0.848633, -13.549809, -108.703644, 4.577637,left_down
36178, 0.000000, 0.524414, 0.025635, 0.760376, -14.587406, -93.566925, 4.577637,left_down
36198, 0.000000, 0.513916, 0.022827, 0.658691, -8.850098, -78.491211, 5.859377,left_down
36218, 0.000000, 0.537231, 0.012817, 0.511841, -3.967286, -60.791031, 7.141115,left_down
36238, 0.000000, 0.536133, -0.003906, 0.439331, 9.826660, -47.363297, 5.371094,left_down
36258, 0.000000, 0.550293, 0.053223, 0.398193, 7.629396, -31.188972, 6.469728,left_down
36278, 0.000000, 0.602661, 0.057373, 0.382690, -14.770512, -10.253906, 9.704590,left_down
36298, 0.000000, 0.609741, 0.018799, 0.405029, -28.869637, 16.174316, 8.666992,left_down
36318, 0.000000, 0.541626, -0.072266, 0.391479, -12.268070, 43.884277, 1.586915,left_down
36338, 0.000000, 0.549683, -0.060547, 0.467529, 18.310547, 71.166992, -7.141115,left_down
36358, 0.000000, 0.551147, 0.006958, 0.632935, 26.977547, 97.473175, -10.864258,left_down
36378, 0.000000, 0.535400, 0.031250, 0.850708, 22.888191, 120.239288, -12.084965,left_down
36398, 0.000000, 0.457642, 0.056152, 1.005249, 11.352543, 129.821777, -10.253906,left_down
36418, 0.000000, 0.379395, 0.057739, 1.114502, 5.798342, 121.826202, -7.873537,left_down
36438, 0.000000, 0.369019, 0.096802, 1.290405, 5.737307, 100.952179, -7.751467,left_down
36458, 0.000000, 0.298950, 0.028198, 1.435547, 29.235847, 71.960449, -10.009766,left_down
36478, 0.000000, 0.277954, 0.129395, 1.488770, 42.663574, 29.479988, -2.746582,left_down
36498, 0.000000, 0.321411, 0.189087, 1.387329, 4.394531, -41.503906, 15.014652,left_down
36518, 0.000000, 0.351440, 0.097900, 1.218994, -9.765625, -76.965332, 17.578125,left_down
36538, 0.000000, 0.394043, 0.091553, 1.072144, -17.150879, -96.923859, 14.587406,left_down
36558, 0.000000, 0.449341, 0.104004, 0.956665, -25.878914, -103.088409, 10.559082,left_down
36578, 0.000000, 0.491577, 0.055786, 0.869507, -24.658211, -98.938019, 6.530764,left_down
36598, 0.000000, 0.529175, 0.056030, 0.801514, -15.625004, -88.378906, 3.662110,left_down
36618, 0.000000, 0.553833, 0.072021, 0.762939, -11.230473, -75.256348, 2.807618,left_down
36638, 0.000000, 0.559937, 0.034790, 0.747070, -0.610352, -61.889664, 3.723145,left_down
36658, 0.000000, 0.531372, 0.028320, 0.695801, 10.498047, -52.673355, 7.263186,left_down
36678, 0.000000, 0.545044, 0.049194, 0.645020, 9.643555, -47.790543, 12.023930,left_down
36698, 0.000000, 0.545410, 0.036377, 0.578003, 1.586915, -44.128418, 15.502934,left_down
36718, 0.000000, 0.536743, 0.033569, 0.480103, -9.094238, -39.245605, 16.906738,left_down
36738, 0.000000, 0.523438, 0.005981, 0.346558, -27.160652, -30.517586, 16.845703,left_down
36758, 0.000000, 0.596069, -0.099609, 0.316406, -4.577637, 5.004883, 3.784181,left_down
36778, 0.000000, 0.659668, -0.086182, 0.414429, 26.611336, 42.968750, -7.995607,left_down
36798, 0.000000, 0.603638, 0.057373, 0.500977, 11.840824, 77.209473, -10.192871,left_down
36818, 0.000000, 0.562988, -0.040039, 0.626953, -7.690432, 104.980499, -7.568361,left_down
36838, 0.000000, 0.565552, -0.112549, 0.849487, 22.460945, 129.882813, -12.878422,left_down
36858, 0.000000, 0.465942, -0.029541, 1.030029, 55.542007, 141.113281, -18.371582,left_down
36878, 0.000000, 0.369507, 0.135620, 1.171387, 53.588882, 128.417969, -15.747074,left_down
36898, 0.000000, 0.345337, 0.248291, 1.293213, 16.540527, 93.811066, -4.150391,left_down
36918, 0.000000, 0.338013, 0.180054, 1.373901, -6.652834, 48.278824, 6.225588,left_down
36938, 0.000000, 0.319946, 0.116821, 1.390137, -5.310059, 1.770020, 13.122562,left_down
36958, 0.000000, 0.341553, 0.106079, 1.312500, -7.934572, -39.550781, 18.493652,left_down
36978, 0.000000, 0.382202, 0.062256, 1.192627, -6.164553, -68.237305, 17.761230,left_down
36998, 0.000000, 0.423828, 0.076660, 1.078857, -9.826660, -84.228516, 15.625004,left_down
37018, 0.000000, 0.467041, 0.075562, 0.996582, -18.188477, -89.172394, 14.709476,left_down
37038, 0.000000, 0.510254, 0.004639, 0.875122, -14.099125, -83.618164, 14.526371,left_down
37058, 0.000000, 0.516479, -0.010742, 0.780396, -4.577637, -77.087402, 13.183598,left_down
37078, 0.000000, 0.527100, 0.007202, 0.686768, -5.554201, -72.021484, 11.718754,left_down
37098, 0.000000, 0.546631, -0.012207, 0.609375, -11.657719, -66.589355, 10.253906,left_down
37118, 0.000000, 0.544800, -0.019287, 0.532715, -16.479492, -58.715836, 8.666992,left_down
37138, 0.000000, 0.555176, -0.036743, 0.421631, -23.315437, -48.461929, 6.469728,left_down
37158, 0.000000, 0.566772, -0.104614, 0.331665, -14.038090, -32.531738, -0.854492,left_down
37178, 0.000000, 0.624023, -0.095825, 0.326904, 13.183598, -7.202150, -13.549809,left_down
37198, 0.000000, 0.667480, 0.012085, 0.386597, 14.404301, 26.794441, -21.606445,left_down
37218, 0.000000, 0.628662, 0.032227, 0.434570, -5.676271, 62.744156, -21.850586,left_down
37238, 0.000000, 0.599854, -0.003174, 0.580200, -11.901859, 98.388702, -20.446777,left_down
37278, 0.000000, 0.461792, -0.081909, 0.885498, 48.339859, 143.676758, -25.939949,left_down
37298, 0.000000, 0.394043, 0.066772, 1.092896, 71.960449, 143.920898, -30.395515,left_down
37318, 0.000000, 0.312256, 0.297241, 1.345581, 29.418953, 100.463898, -19.165039,left_down
37338, 0.000000, 0.284424, 0.254761, 1.436523, 3.967286, 47.302261, -2.319336,left_down
37358, 0.000000, 0.294922, 0.239136, 1.434692, -7.202150, -7.812502, 13.183598,left_down
37378, 0.000000, 0.317383, 0.172119, 1.319336, -16.479492, -52.490250, 22.216805,left_down
37398, 0.000000, 0.376709, 0.092651, 1.174683, -12.573246, -79.467773, 21.850586,left_down
37418, 0.000000, 0.442871, 0.114990, 1.054688, -12.512211, -90.393097, 17.883301,left_down
37438, 0.000000, 0.501465, 0.107300, 0.975708, -19.714355, -90.148956, 14.892582,left_down
37458, 0.000000, 0.520386, 0.055908, 0.910278, -21.118164, -83.129883, 13.610844,left_down
37478, 0.000000, 0.506592, 0.028809, 0.812622, -13.366703, -75.744629, 12.756351,left_down
37498, 0.000000, 0.525879, 0.041992, 0.750000, -6.530764, -69.458008, 11.291508,left_down
37518, 0.000000, 0.546997, 0.019531, 0.707764, -0.793457, -62.255875, 9.338379,left_down
37538, 0.000000, 0.554321, 0.017456, 0.674072, 8.789063, -54.260269, 8.361816,left_down
37558, 0.000000, 0.557983, 0.043579, 0.641235, 7.385256, -46.752945, 11.108402,left_down
37578, 0.000000, 0.569092, 0.051880, 0.605225, -0.122070, -38.940430, 14.038090,left_down
37598, 0.000000, 0.531494, -0.005371, 0.456421, -7.324221, -28.137215, 16.845703,left_down
37618, 0.000000, 0.537964, -0.039551, 0.325562, 5.310059, -18.432617, 12.573246,left_down
37638, 0.000000, 0.655884, 0.031738, 0.396851, -3.173829, 2.807618, 8.972168,left_down
37658, 0.000000, 0.706543, -0.122314, 0.488159, 5.981447, 39.855957, 2.746582,left_down
37678, 0.000000, 0.652466, -0.008057, 0.553345, 14.099125, 77.392578, -3.723145,left_down
37698, 0.000000, 0.572144, -0.030273, 0.655762, 2.014160, 103.576691, -6.713869,left_down
37718, 0.000000, 0.497559, -0.157471, 0.775513, 35.156250, 120.971710, -17.517090,left_down
37738, 0.000000, 0.503174, -0.070557, 0.976807, 80.261230, 127.563507, -32.714844,left_down
37758, 0.000000, 0.429199, 0.146729, 1.174316, 82.702637, 119.079620, -39.184570,left_down
37778, 0.000000, 0.350830, 0.303589, 1.273560, 37.841797, 86.975098, -26.977547,left_down
37798, 0.000000, 0.360718, 0.329590, 1.355469, -8.117676, 42.541504, -8.483887,left_down
37818, 0.000000, 0.356079, 0.241211, 1.379761, -26.489265, 0.000000, 5.981447,left_down
37838, 0.000000, 0.360229, 0.161499, 1.320313, -23.803719, -35.583496, 16.235352,left_down
37858, 0.000000, 0.395630, 0.040283, 1.241333, -1.525879, -61.584488, 17.944336,left_down
37878, 0.000000, 0.426392, 0.148071, 1.039429, 11.230473, -91.369659, 14.648441,left_down
37898, 0.000000, 0.462036, 0.157837, 0.924683, -10.192871, -105.041534, 15.014652,left_down
37918, 0.000000, 0.495361, 0.140381, 0.848145, -24.230965, -109.008820, 14.709476,left_down
37938, 0.000000, 0.504272, 0.075928, 0.760498, -29.724129, -106.628448, 16.052246,left_down
37958, 0.000000, 0.533691, 0.019897, 0.683594, -19.775391, -99.670441, 16.479492,left_down
37978, 0.000000, 0.568848, 0.007080, 0.603394, -12.573246, -90.148956, 16.662598,left_down
37998, 0.000000, 0.600220, 0.016479, 0.552979, -7.690432, -78.369141, 15.319828,left_down
38018, 0.000000, 0.632568, 0.030396, 0.507080, -6.713869, -63.598648, 13.000492,left_down
38038, 0.000000, 0.599487, 0.032715, 0.372925, -16.174316, -49.499527, 12.817387,left_down
38058, 0.000000, 0.621948, 0.008423, 0.245483, -19.653320, -33.325195, 9.399414,left_down
38078, 0.000000, 0.738281, 0.004517, 0.294922, -22.583015, -4.577637, 4.028320,left_down
38098, 0.000000, 0.751831, -0.096802, 0.328979, -11.108402, 37.536621, -2.868653,left_down
38118, 0.000000, 0.672241, -0.050049, 0.332764, -4.150391, 78.918457, -7.934572,left_down
38138, 0.000000, 0.636841, -0.035645, 0.387817, -14.404301, 113.708527, -12.756351,left_down
38158, 0.000000, 0.570679, -0.185791, 0.659058, 43.395996, 159.118652, -37.109375,left_down
38178, 0.000000, 0.459106, -0.049927, 0.875122, 74.645996, 176.635742, -52.856461,left_down
38198, 0.000000, 0.362793, 0.175659, 1.077148, 50.231949, 173.583984, -54.809586,left_down
38218, 0.000000, 0.301758, 0.292603, 1.282959, 18.188477, 147.827148, -48.339859,left_down
38238, 0.000000, 0.240234, 0.293701, 1.477661, -3.906251, 95.275909, -30.212410,left_down
38258, 0.000000, 0.281738, 0.184448, 1.631714, 35.095215, 32.409668, -14.343266,left_down
38278, 0.000000, 0.276123, 0.303223, 1.540283, 22.155769, -30.029305, 20.507813,left_down
38298, 0.000000, 0.317139, 0.219849, 1.366577, 17.700195, -80.932617, 32.592773,left_down
38318, 0.000000, 0.362183, 0.201660, 1.179321, 14.099125, -112.243683, 35.522461,left_down
38338, 0.000000, 0.408203, 0.219849, 1.008301, -13.793949, -127.136261, 37.170410,left_down
38358, 0.000000, 0.491333, 0.140259, 0.870483, -49.560562, -128.479004, 35.949707,left_down
38378, 0.000000, 0.594604, 0.012939, 0.797119, -50.659195, -115.905792, 26.306160,left_down
38398, 0.000000, 0.584229, -0.053711, 0.703613, -13.732914, -97.167999, 14.160160,left_down
38418, 0.000000, 0.584351, 0.030273, 0.618530, 7.690432, -80.505371, 9.155273,left_down
38438, 0.000000, 0.604858, 0.055542, 0.525146, 7.934572, -59.143082, 8.666992,left_down
38458, 0.000000, 0.609985, 0.082764, 0.462280, -4.394531, -45.593277, 9.460449,left_down
38478, 0.000000, 0.617065, 0.069214, 0.404419, -28.503426, -31.372078, 10.986328,left_down
38498, 0.000000, 0.625854, -0.000854, 0.364990, -39.733887, -13.000492, 8.239746,left_down
38518, 0.000000, 0.633423, -0.052246, 0.339355, -33.386230, 9.094238, 0.793457,left_down
38538, 0.000000, 0.625488, -0.016235, 0.355103, -24.963387, 33.508301, -7.812502,left_down
38558, 0.000000, 0.608521, -0.004517, 0.385620, -22.277840, 57.495132, -14.343266,left_down
38578, 0.000000, 0.566528, 0.026123, 0.456909, -27.282722, 79.650879, -16.906738,left_down
38598, 0.000000, 0.544922, -0.075562, 0.571899, -22.766121, 101.806671, -18.798828,left_down
38618, 0.000000, 0.493530, -0.129639, 0.698364, 16.601563, 122.741730, -27.526863,left_down
38638, 0.000000, 0.486084, -0.052490, 0.892822, 46.142593, 137.329102, -36.987305,left_down
38658, 0.000000, 0.450073, 0.067139, 1.092651, 59.021011, 141.235352, -44.250504,left_down
38678, 0.000000, 0.343628, 0.206055, 1.278687, 53.771988, 126.770050, -41.259766,left_down
38698, 0.000000, 0.283813, 0.305542, 1.423218, 28.076180, 89.477570, -20.935059,left_down
38718, 0.000000, 0.296997, 0.194458, 1.485229, 26.794441, 8.117676, 13.977055,left_down
38738, 0.000000, 0.309082, 0.219238, 1.423340, 38.513184, -44.982925, 27.343758,left_down
38758, 0.000000, 0.333740, 0.243896, 1.303955, 31.188972, -86.608887, 36.743164,left_down
38778, 0.000000, 0.377686, 0.244873, 1.142578, 4.516602, -113.220245, 42.907715,left_down
38798, 0.000000, 0.471436, 0.170776, 0.996338, -19.714355, -123.168976, 42.358398,left_down
38818, 0.000000, 0.530029, 0.082764, 0.884521, -23.803719, -118.408234, 35.095215,left_down
38838, 0.000000, 0.566650, -0.010132, 0.797852, -11.047363, -105.590851, 25.939949,left_down
38858, 0.000000, 0.599609, 0.018311, 0.716187, 8.422852, -90.271027, 16.113281,left_down
38878, 0.000000, 0.612549, 0.078857, 0.633057, 7.080080, -78.063965, 10.375977,left_down
38898, 0.000000, 0.620483, 0.094482, 0.576294, -3.845216, -67.687988, 7.141115,left_down
38918, 0.000000, 0.633423, 0.073853, 0.537231, -10.131836, -56.274429, 4.516602,left_down
38938, 0.000000, 0.643066, 0.044556, 0.492310, -10.192871, -43.518066, 2.746582,left_down
38958, 0.000000, 0.621948, 0.046631, 0.412476, -7.873537, -30.517586, 2.136230,left_down
38978, 0.000000, 0.587158, 0.026001, 0.305786, -7.812502, -17.089844, 0.000000,left_down
38998, 0.000000, 0.671509, 0.034790, 0.313477, -6.347658, 17.211914, -4.394531,left_down
39018, 0.000000, 0.691895, -0.021851, 0.357178, -6.286623, 52.307144, -10.803223,left_down
39038, 0.000000, 0.634644, 0.064941, 0.378540, -16.479492, 87.402344, -17.272949,left_down
39058, 0.000000, 0.569824, -0.046143, 0.468628, -26.123055, 118.774445, -24.353035,left_down
39078, 0.000000, 0.540283, -0.204956, 0.669434, 47.546402, 149.536133, -48.156754,left_down
39098, 0.000000, 0.444214, 0.002930, 0.905884, 104.736359, 166.687012, -68.481445,left_down
39118, 0.000000, 0.354858, 0.281250, 1.114868, 78.918457, 159.240723, -66.223145,left_down
39138, 0.000000, 0.329956, 0.464233, 1.283081, 20.751953, 130.187988, -50.720230,left_down
39158, 0.000000, 0.298462, 0.458496, 1.398560, -30.761726, 85.021973, -28.442390,left_down
39178, 0.000000, 0.266602, 0.247681, 1.481934, -17.395020, 33.142090, -7.873537,left_down
39198, 0.000000, 0.272583, 0.243530, 1.484863, 30.151375, -17.761230, 10.742188,left_down
39218, 0.000000, 0.299316, 0.343872, 1.371460, 43.884277, -63.476578, 28.381355,left_down
39238, 0.000000, 0.352173, 0.420288, 1.240845, 19.958496, -98.266632, 41.503906,left_down
39258, 0.000000, 0.387329, 0.328491, 1.092285, -28.076180, -124.206573, 51.879898,left_down
39278, 0.000000, 0.461792, 0.163208, 0.877319, -35.339355, -126.953156, 49.926773,left_down
39298, 0.000000, 0.523071, 0.100220, 0.763550, -26.245125, -121.154816, 42.846680,left_down
39318, 0.000000, 0.569702, 0.076538, 0.675659, -8.850098, -110.168488, 34.301758,left_down
39338, 0.000000, 0.596924, 0.101196, 0.601318, 0.854492, -96.679718, 28.503426,left_down
39358, 0.000000, 0.619751, 0.145752, 0.554077, -7.263186, -82.275391, 27.893074,left_down
39378, 0.000000, 0.616821, 0.104614, 0.495850, -20.324707, -67.749023, 30.029305,left_down
39398, 0.000000, 0.639648, 0.068359, 0.427612, -28.259285, -52.734390, 31.311043,left_down
39418, 0.000000, 0.646484, 0.006104, 0.355713, -29.296883, -37.170410, 29.907234,left_down
39438, 0.000000, 0.607300, -0.063477, 0.245117, -16.906738, -20.507813, 23.437508,left_down
