timestamp,ax,ay,az,gx,gy,gz,activity
43141, 1.000000, 0.865845, -0.045654, 0.223022, -9.216309, -24.475105, -8.850098,right_up
43161, 1.000000, 0.858398, -0.004883, 0.228271, -4.882813, -22.338875, -10.864258,right_up
43181, 1.000000, 0.866821, 0.011353, 0.246704, -27.648933, -19.287109, -5.310059,right_up
43201, 1.000000, 0.853760, -0.052124, 0.194702, -37.048340, -21.972656, -1.892090,right_up
43221, 1.000000, 0.838867, -0.074585, 0.182983, -25.085457, -27.587898, -4.455566,right_up
43241, 1.000000, 0.847046, -0.074829, 0.134277, -4.150391, -29.296883, -9.704590,right_up
43261, 1.000000, 0.839966, -0.068359, 0.046875, 17.456055, -27.832039, -15.441898,right_up
43281, 1.000000, 0.877441, -0.047363, 0.005981, 36.315918, -21.301270, -20.751953,right_up
43301, 1.000000, 0.980103, -0.007446, 0.020264, 62.194839, 2.258301, -26.733406,right_up
43321, 1.000000, 1.122803, 0.132446, 0.067993, 51.452652, 22.033691, -25.756844,right_up
43341, 1.000000, 1.121704, 0.104492, 0.114380, 7.690432, 52.307144, -19.592285,right_up
43361, 1.000000, 1.065674, 0.099609, 0.173462, -8.666992, 82.275391, -16.296387,right_up
43381, 1.000000, 1.025024, 0.091553, 0.269897, -23.498543, 93.872101, -11.596684,right_up
43401, 1.000000, 0.980591, 0.059448, 0.415039, -45.227066, 94.238312, -3.906251,right_up
43421, 1.000000, 0.915894, 0.032837, 0.543213, -47.424332, 85.205078, -1.281738,right_up
43441, 1.000000, 0.895996, 0.038330, 0.682373, -53.955093, 70.007324, -0.183106,right_up
43461, 1.000000, 0.917358, -0.023682, 0.805664, -40.893555, 45.776382, -3.417970,right_up
43481, 1.000000, 0.907471, -0.021362, 0.886963, -22.094727, 17.700195, -7.141115,right_up
43501, 1.000000, 0.882690, -0.040283, 0.894043, -1.586915, -15.808109, -12.146000,right_up
43521, 1.000000, 0.888428, 0.018677, 0.852905, 7.263186, -47.851578, -14.770512,right_up
43541, 1.000000, 0.893921, 0.041138, 0.735107, 11.413578, -73.425293, -13.977055,right_up
43561, 1.000000, 0.907837, 0.080322, 0.596924, 15.625004, -91.186554, -11.230473,right_up
43581, 1.000000, 0.908691, 0.105225, 0.400024, 27.160652, -104.064972, -6.652834,right_up
43601, 1.000000, 0.918213, 0.131348, 0.304199, 30.944832, -104.553253, -2.197266,right_up
43621, 1.000000, 0.938232, 0.139160, 0.217896, 22.460945, -96.496613, 3.540040,right_up
43641, 1.000000, 0.926758, 0.135254, 0.151123, 15.502934, -88.684113, 7.324221,right_up
43661, 1.000000, 0.922119, 0.106812, 0.096802, 8.239746, -82.092285, 10.559082,right_up
43681, 1.000000, 0.930542, 0.074585, 0.047241, 6.408693, -71.838379, 13.000492,right_up
43701, 1.000000, 0.926147, 0.076660, -0.001831, 1.770020, -62.988297, 16.418457,right_up
43721, 1.000000, 0.917236, 0.078125, -0.026123, -12.390141, -53.222672, 19.592285,right_up
43741, 1.000000, 0.871216, 0.014648, 0.007446, -54.565445, -52.795425, 21.240234,right_up
43761, 1.000000, 0.794800, -0.072021, -0.263306, 7.080080, -38.452148, 18.371582,right_up
43781, 1.000000, 0.754028, -0.159790, -0.517212, 80.566406, -23.376472, 16.296387,right_up
43801, 1.000000, 0.852905, -0.104614, -0.597778, 152.282715, 2.075195, 10.131836,right_up
43821, 1.000000, 1.149536, 0.299072, -0.494507, 99.121124, 54.138199, 13.366703,right_up
43841, 1.000000, 1.111694, 0.050903, -0.438599, -12.512211, 113.342316, 22.644051,right_up
43861, 1.000000, 1.040771, -0.008301, -0.082153, -25.329597, 146.301270, 19.165039,right_up
43881, 1.000000, 0.961670, -0.055420, 0.345337, -14.831547, 150.085449, 13.366703,right_up
43901, 1.000000, 0.903687, -0.005615, 0.782959, -40.832520, 122.436554, 14.038090,right_up
43921, 1.000000, 0.845337, -0.045654, 1.021851, -57.678238, 77.758789, 12.939457,right_up
43941, 1.000000, 0.913940, -0.057861, 1.083618, -73.242188, 26.062019, 9.460449,right_up
43961, 1.000000, 0.960693, -0.097534, 0.970459, -59.448257, -24.353035, 2.807618,right_up
43981, 1.000000, 1.036987, -0.109253, 0.681274, -46.203629, -74.584961, 0.366211,right_up
